 ,Type,Amount(in num),location,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Arduino, Rpi Box",,,,,,,,,,,,,,,
PNP TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
NPN TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
PHOTO TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
ELECTROLYTIC,,,C1_R1_B12,,,,,,,,,,,,
DIODE,,,,,,,,,,,,,,,
DIODES,,,C1_R1_B4,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DIGITAL IC ,,,,,,,,,,,,,,,
74148,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
74541,,,C1_R3_B1,,,,,,,,,,,,
74244,,,C1_R3_B1,,,,,,,,,,,,
74148,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
74573,,,C1_R3_B1,,,,,,,,,,,,
74147,,,C1_R3_B1,,,,,,,,,,,,
74595,,,C1_R3_B1,,,,,,,,,,,,
74125,,,C1_R3_B1,,,,,,,,,,,,
7485,,,C1_R3_B1,,,,,,,,,,,,
74154,,,C1_R3_B1,,,,,,,,,,,,
74128,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
DAC,,,C1_R3_B1,,,,,,,,,,,,
74138,,,C1_R3_B1,,,,,,,,,,,,
74244,,,C1_R3_B1,,,,,,,,,,,,
4067,,,C1_R3_B1,,,,,,,,,,,,
74147,,,C1_R3_B1,,,,,,,,,,,,
ADC,,,C1_R3_B1,,,,,,,,,,,,
6016,,,C1_R3_B2,,,,,,,,,,,,
74150,,,C1_R3_B2,,,,,,,,,,,,
74154,,,C1_R3_B2,,,,,,,,,,,,
74181,,,C1_R3_B2,,,,,,,,,,,,
ATMEGA,,,C1_R3_B2,,,,,,,,,,,,
89551,,,C1_R3_B2,,,,,,,,,,,,
78052,,,C1_R3_B2,,,,,,,,,,,,
IC HOLDER,,,C1_R3_B2,,,,,,,,,,,,
2803,,,C1_R3_B3,,,,,,,,,,,,
4072,,,C1_R3_B3,,,,,,,,,,,,
4027,,,C1_R3_B3,,,,,,,,,,,,
74125,,,C1_R3_B3,,,,,,,,,,,,
4020,,,C1_R3_B3,,,,,,,,,,,,
4511,,,C1_R3_B3,,,,,,,,,,,,
7486,,,C1_R3_B3,,,,,,,,,,,,
2003,,,C1_R3_B3,,,,,,,,,,,,
4040,,,C1_R3_B3,,,,,,,,,,,,
1007,,,C1_R3_B3,,,,,,,,,,,,
IC HOLDER,,,C1_R3_B3,,,,,,,,,,,,
2803,,,C1_R3_B4,,,,,,,,,,,,
293D,,,C1_R3_B4,,,,,,,,,,,,
74595,,,C1_R3_B4,,,,,,,,,,,,
4046,,,C1_R3_B4,,,,,,,,,,,,
9549,,,C1_R3_B4,,,,,,,,,,,,
9501,,,C1_R3_B4,,,,,,,,,,,,
8952,,,C1_R3_B4,,,,,,,,,,,,
AT89C52,,,C1_R3_B4,,,,,,,,,,,,
4017,,,C1_R3_B4,,,,,,,,,,,,
1032,,,C1_R3_B4,,,,,,,,,,,,
4008,,,C1_R3_B4,,,,,,,,,,,,
4046,,,C1_R3_B5,,,,,,,,,,,,
2003,,,C1_R3_B5,,,,,,,,,,,,
74240,,,C1_R3_B5,,,,,,,,,,,,
4051,,,C1_R3_B6,,,,,,,,,,,,
7427,,,C1_R3_B7,,,,,,,,,,,,
74164,,,C1_R3_B8,,,,,,,,,,,,
74165,,,C1_R3_B8,,,,,,,,,,,,
4093,,,C1_R3_B9,,,,,,,,,,,,
4050,,,C1_R3_B9,,,,,,,,,,,,
7474,,,C1_R3_B10,,,,,,,,,,,,
H212D/E,,,C1_R3_B11,,,,,,,,,,,,
7447,,,C1_R3_B12,,,,,,,,,,,,
4066,,,C1_R3_B13,,,,,,,,,,,,
4067,,,C1_R3_B13,,,,,,,,,,,,
4013,,,C1_R3_B13,,,,,,,,,,,,
4029,,,C1_R3_B13,,,,,,,,,,,,
7432,,,C1_R3_B14,,,,,,,,,,,,
4081,,,C1_R3_B15,,,,,,,,,,,,
7490,,,C1_R3_B16,,,,,,,,,,,,
7493,,,C1_R3_B16,,,,,,,,,,,,
5940,,,C1_R3_B17,,,,,,,,,,,,
4071,,,C1_R3_B18,,,,,,,,,,,,
4082,,,C1_R3_B18,,,,,,,,,,,,
74192,,,C1_R3_B19,,,,,,,,,,,,
74193,,,C1_R3_B19,,,,,,,,,,,,
74194,,,C1_R3_B19,,,,,,,,,,,,
7404,,,C1_R3_B20,,,,,,,,,,,,
VOLTAGE REGULATOR,,,C1_R3_B21,,,,,,,,,,,,
7473,,,C1_R3_B22,,,,,,,,,,,,
74109,,,C1_R3_B22,,,,,,,,,,,,
7406,,,C1_R3_B23,,,,,,,,,,,,
7413,,,C1_R3_B23,,,,,,,,,,,,
LM339,,,C1_R3_B24,,,,,,,,,,,,
7411,,,C1_R3_25,,,,,,,,,,,,
PIC16,,,C1_R3_26,,,,,,,,,,,,
24SERIES,,,C1_R3_27,,,,,,,,,,,,
4015,,,C1_R3_28,,,,,,,,,,,,
555,,,C1_R3_28,,,,,,,,,,,,
4001,,,C1_R3_28,,,,,,,,,,,,
4011,,,C1_R3_28,,,,,,,,,,,,
7421,,,C1_R3_29,,,,,,,,,,,,
7404,,,C1_R3_29,,,,,,,,,,,,
74112,,,C1_R3_29,,,,,,,,,,,,
7408,,,C1_R3_29,,,,,,,,,,,,
74160,,,C1_R3_29,,,,,,,,,,,,
7402,,,C1_R3_29,,,,,,,,,,,,
14008,,,C1_R3_30,,,,,,,,,,,,
74112,,,C1_R3_30,,,,,,,,,,,,
4033,,,C1_R3_30,,,,,,,,,,,,
74132,,,C1_R3_30,,,,,,,,,,,,
7486,,,C1_R3_30,,,,,,,,,,,,
7400,,,C1_R3_30,,,,,,,,,,,,
74132,,,C1_R3_30,,,,,,,,,,,,
IC HOLDER + SLIDER SWITCH,,,C1_R3_31,,,,,,,,,,,,
2003,,,STRIPS,,,,,,,,,,,,
556,,,STRIPS,,,,,,,,,,,,
4020,,,STRIPS,,,,,,,,,,,,
4007,,,STRIPS,,,,,,,,,,,,
4072,,,STRIPS,,,,,,,,,,,,
4029,,,STRIPS,,,,,,,,,,,,
3561,,,STRIPS,,,,,,,,,,,,
DAC,,,STRIPS,,,,,,,,,,,,
280,,,STRIPS,,,,,,,,,,,,
4073,,,STRIPS,,,,,,,,,,,,
4016,,,STRIPS,,,,,,,,,,,,
4518,,,STRIPS,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Components for Techevience,,,,,,,,,,,,,,,
